0.02,"Around[0., 0.11264494504255188]"
0.05,"Around[0., 0.12550379142075935]"
0.09,"Around[0., 0.2930498668843789]"
0.12,"Around[0.03627617505018105, 0.2926888908760095]"
0.15,"Around[0., 0.26683004353244844]"
0.19,"Around[0.3620564341874189, 0.09280837796928329]"
0.22,"Around[0.2724144330565813, 0.11367838698756613]"
0.26,"Around[0.19785998185506792, 0.14404761470531507]"
0.29,"Around[0.3967294206735829, 0.08734155485971253]"
0.32,"Around[0.4900059551401002, 0.07703661729557758]"
0.36,"Around[0.39571228666225555, 0.08748685479044672]"
0.39,"Around[0.3791576288551154, 0.08997759443279683]"
0.43,"Around[0.4369445724845061, 0.0822305517467819]"
0.46,"Around[0.4584170782105368, 0.07994046586226553]"
0.5,"Around[0.5067389480571518, 0.07569492421530989]"
0.53,"Around[0.683740408045099, 0.06733423237870398]"
0.56,"Around[0.6567372167732755, 0.06807491398200391]"
0.6,"Around[0.5553892579568284, 0.07244372746263206]"
0.63,"Around[0.7605390516133713, 0.06597961492938614]"
0.67,"Around[0.707906633861954, 0.06679488757653984]"
0.7,"Around[0.7660811356403296, 0.06592007579289107]"
0.73,"Around[0.68957766715271, 0.06719366778532637]"
0.77,"Around[0.8220394045330274, 0.0655708303495366]"
0.8,"Around[0.8406111838867969, 0.06554972795982147]"
0.84,"Around[0.8731510218807762, 0.06561759176545878]"
0.87,"Around[0.8952251289917903, 0.06573607808610737]"
0.91,"Around[0.9269106894695287, 0.06600336281049865]"
0.94,"Around[1.046082277769888, 0.06795776373268976]"
0.97,"Around[1.0026024244615306, 0.06707774924345931]"
1.01,"Around[1.0529008315594415, 0.06811257349740199]"
1.04,"Around[0.9561841495931632, 0.06634788569831021]"
1.08,"Around[1.0389136592176689, 0.06779988253749021]"
1.11,"Around[1.1643708204364598, 0.07127567682516786]"
1.15,"Around[1.2541015023848288, 0.07468570278876546]"
1.18,"Around[1.208191641405162, 0.07284379291569652]"
1.21,"Around[1.3527458230732023, 0.07935581829545636]"
1.25,"Around[1.2923196726948394, 0.07637749089286541]"
1.28,"Around[1.3099626242236238, 0.07720813882347645]"
1.32,"Around[1.3364798718417694, 0.07851673948007723]"
1.35,"Around[1.402643472570533, 0.0821073369868989]"
1.38,"Around[1.3220213635852218, 0.07779421196080394]"
1.42,"Around[1.3647379597738096, 0.0799924497666047]"
1.45,"Around[1.622811587544572, 0.09781980466184939]"
1.49,"Around[1.3934057582909019, 0.08157738070453767]"
1.52,"Around[1.5759941270464706, 0.09394291188605784]"
1.56,"Around[1.6115120507799705, 0.09685486676710449]"
1.59,"Around[1.7485645249113484, 0.10993259883448898]"
1.62,"Around[1.7440978585892475, 0.10945583461529719]"
1.66,"Around[1.6804136039114417, 0.10304321767508975]"
1.69,"Around[1.587332981991953, 0.09485291678959937]"
1.73,"Around[1.8546824916614588, 0.12241318552130173]"
1.76,"Around[1.817520104981196, 0.11777884087497151]"
1.79,"Around[2.135584354085872, 0.16958202463476182]"
1.83,"Around[1.7624046235038329, 0.11143336604162596]"
1.86,"Around[1.680793164853258, 0.10307939204442895]"
1.9,"Around[1.9128391173684833, 0.13030059490702314]"
1.93,"Around[1.904248279730976, 0.12908386495130292]"
1.97,"Around[1.9907728845271548, 0.1422395489589213]"
2.,"Around[2.0130015724497934, 0.14596725342732703]"
2.03,"Around[1.9307588161118778, 0.13289950763249786]"
2.07,"Around[2.269625531426829, 0.20299087130482663]"
2.1,"Around[1.8338694895649177, 0.11978073571084273]"
2.14,"Around[2.0503030252073517, 0.15257793950471343]"
2.17,"Around[2.2224144092781173, 0.1901344694114449]"
2.2,"Around[2.1971223192218363, 0.183764155582265]"
2.24,"Around[2.1332041078838113, 0.16906794035786263]"
2.27,"Around[2.2967813820997294, 0.2110132554212862]"
2.31,"Around[2.28336787234601, 0.20698917751023158]"
2.34,"Around[1.8984892651975098, 0.1282785685901793]"
2.38,"Around[2.459714676136802, 0.2718347754248506]"
2.41,"Around[2.394982101787467, 0.24466603460343195]"
2.44,"Around[2.4891807106508335, 0.2858686148395822]"
2.48,"Around[2.5, 0.2520912880998013]"
2.51,"Around[2.5, 0.28463820854655875]"
2.55,"Around[2.5, 0.25253420727097214]"
