0.02,"Around[-9.456131495979587*^-9, 0.027643225844780513]"
0.05,"Around[-0.10608060503364691, 0.024938975722700558]"
0.09,"Around[-1.4890712110187616*^-8, 0.02557378646984127]"
0.12,"Around[0.09727274226786638, 0.025611063157893174]"
0.15,"Around[0.15133008888856223, 0.0215351912760642]"
0.19,"Around[0.179339338771495, 0.019724891192325112]"
0.22,"Around[0.1742230934081843, 0.02003134858441877]"
0.26,"Around[0.25874511840581693, 0.016404078034397786]"
0.29,"Around[0.2929426574501668, 0.01568769869673867]"
0.32,"Around[0.35187699902345215, 0.01516599176181357]"
0.36,"Around[0.3643850611955148, 0.015148824268377421]"
0.39,"Around[0.4241266314243565, 0.015435975176414244]"
0.43,"Around[0.444537106028686, 0.015662751962784577]"
0.46,"Around[0.4707538339342271, 0.016046543700398215]"
0.5,"Around[0.512767661789145, 0.016883966220670912]"
0.53,"Around[0.5480648905036312, 0.017815868685511556]"
0.56,"Around[0.5638962420861675, 0.018308765731763786]"
0.6,"Around[0.5866222057322855, 0.019106057200563936]"
0.63,"Around[0.6204940292334244, 0.020514867817659765]"
0.67,"Around[0.6667528358428034, 0.02295275053132555]"
0.7,"Around[0.7222384513557857, 0.026912235341288244]"
0.73,"Around[0.6933616248434274, 0.02468737203375321]"
0.77,"Around[0.7543221452713224, 0.0298991616738364]"
0.8,"Around[0.8024974309724591, 0.03573790538022026]"
0.84,"Around[0.8421686599349076, 0.042258206798843484]"
0.87,"Around[0.8052610580473312, 0.03613446608703622]"
0.91,"Around[0.918635156059241, 0.062243245720085126]"
0.94,"Around[0.8981707726958569, 0.055592974656357326]"
0.97,"Around[0.9700471687939389, 0.08567148891129758]"
1.01,"Around[0.8281995498930395, 0.039744700108711346]"
1.04,"Around[1.071861859818115, 0.12792658980715946]"
1.08,"Around[0.8876142835291857, 0.05259411592744344]"
1.11,"Around[1.31, 0.21058881577927838]"
1.15,"Around[1.3499999999999999, 0.19214776397410774]"
1.18,"Around[1.38, 0.18669099418033686]"
1.21,"Around[1.3938265304145427, 0.1872013253225441]"
1.25,"Around[1.391737213323718, 0.18721477160716543]"
1.28,"Around[1.3360182638327305, 0.19181543148366073]"
1.32,"Around[1.52, 0.19926957994390931]"
1.35,"Around[1.55, 0.20837495482057872]"
1.38,"Around[1.3871880736903603, 0.18727989500250583]"
1.42,"Around[1.4568497010022798, 0.19116200613725298]"
1.45,"Around[1.4511175598826374, 0.19048037208787583]"
1.49,"Around[1.6503720980856569, 0.24570489335711843]"
1.52,"Around[1.5982732029961153, 0.22521387230554468]"
1.56,"Around[1.4712694982725898, 0.1931364149169594]"
1.59,"Around[1.5302641820624774, 0.2048578452921423]"
1.62,"Around[1.82, 0.3166280983287246]"
1.66,"Around[1.6741980849413673, 0.25653321921973604]"
1.69,"Around[1.6228600779261415, 0.23434739829518494]"
1.73,"Around[1.5673314999608283, 0.21506112748579692]"
1.76,"Around[1.6197985920986637, 0.23315824025004422]"
1.79,"Around[1.734300064031598, 0.2881225109257971]"
1.83,"Around[1.6300000000000001, 0.27131601395169697]"
1.86,"Around[1.7197877590686816, 0.2799169716877326]"
1.9,"Around[1.7, 0.3171693912375613]"
1.93,"Around[1.883220264974726, 0.39603257143456744]"
1.97,"Around[1.7738362061490318, 0.31243656699377553]"
2.,"Around[1.8, 0.42696638814595944]"
2.03,"Around[1.8789030686471495, 0.3922404698220229]"
2.07,"Around[1.8699999999999999, 0.3860291382324272]"
2.1,"Around[1.9000000000000001, 0. + 0.9683486652395508*I]"
2.14,"Around[1.9400000000000002, 1.0502299593444722]"
2.17,"Around[1.97, 1.1830405617430524]"
2.2,"Around[2., 0.7197539590614181]"
2.24,"Around[2.4400000000000004, 1.261340894911827]"
2.27,"Around[2.07, 0. + 2.7752749082959203*I]"
2.31,"Around[2.5100000000000002, 1.5378120850027277]"
2.34,"Around[2.1399999999999997, 0.8411573766710183]"
2.38,"Around[2.1799999999999997, 0. + 1.1736632285655904*I]"
2.41,"Around[2.21, 2.0561096305909774]"
2.44,"Around[2.2399999999999998, 1.1808902752272694]"
2.48,"Around[2.68, 1.8398199646295208]"
2.51,"Around[2.3099999999999996, 1.0896762808610443]"
2.55,"Around[2.75, 1.250223652718625]"
